Volatility 3 Framework 2.27.0

Offset	Proto	LocalAddr	LocalPort	ForeignAddr	ForeignPort	State	PID	Owner	Created

0xb480000ec010	TCPv4	192.168.135.59	49961	52.182.143.210	443	CLOSED	3292	svchost.exe	2025-08-07 19:52:03.000000 UTC
0xbb0c8d2a41b0	TCPv4	0.0.0.0	135	0.0.0.0	0	LISTENING	984	svchost.exe	2025-08-07 19:36:19.000000 UTC
0xbb0c8d2a41b0	TCPv6	::	135	::	0	LISTENING	984	svchost.exe	2025-08-07 19:36:19.000000 UTC
0xbb0c8d2a4470	TCPv4	0.0.0.0	49665	0.0.0.0	0	LISTENING	572	wininit.exe	2025-08-07 19:36:19.000000 UTC
0xbb0c8d2a4470	TCPv6	::	49665	::	0	LISTENING	572	wininit.exe	2025-08-07 19:36:19.000000 UTC
0xbb0c8d2a49f0	TCPv4	0.0.0.0	49664	0.0.0.0	0	LISTENING	728	lsass.exe	2025-08-07 19:36:19.000000 UTC
0xbb0c8d2a5910	TCPv4	0.0.0.0	135	0.0.0.0	0	LISTENING	984	svchost.exe	2025-08-07 19:36:19.000000 UTC
0xbb0c8d2a5bd0	TCPv4	0.0.0.0	49664	0.0.0.0	0	LISTENING	728	lsass.exe	2025-08-07 19:36:19.000000 UTC
0xbb0c8d2a5bd0	TCPv6	::	49664	::	0	LISTENING	728	lsass.exe	2025-08-07 19:36:19.000000 UTC
0xbb0c8d2a5d30	TCPv4	0.0.0.0	49665	0.0.0.0	0	LISTENING	572	wininit.exe	2025-08-07 19:36:19.000000 UTC
0xbb0c8df55ae0	TCPv4	192.168.135.59	49906	192.168.135.57	8070	ESTABLISHED	2684	msedge.exe	2025-08-07 19:45:03.000000 UTC
0xbb0c8e8101b0	TCPv4	0.0.0.0	49673	0.0.0.0	0	LISTENING	716	services.exe	2025-08-07 19:36:21.000000 UTC
0xbb0c8e810470	TCPv4	192.168.135.59	139	0.0.0.0	0	LISTENING	4	System	2025-08-07 19:36:20.000000 UTC
0xbb0c8e8105d0	TCPv4	0.0.0.0	49666	0.0.0.0	0	LISTENING	1280	svchost.exe	2025-08-07 19:36:20.000000 UTC
0xbb0c8e8105d0	TCPv6	::	49666	::	0	LISTENING	1280	svchost.exe	2025-08-07 19:36:20.000000 UTC
0xbb0c8e810890	TCPv4	0.0.0.0	5357	0.0.0.0	0	LISTENING	4	System	2025-08-07 19:36:21.000000 UTC
0xbb0c8e810890	TCPv6	::	5357	::	0	LISTENING	4	System	2025-08-07 19:36:21.000000 UTC
0xbb0c8e8109f0	TCPv4	0.0.0.0	49666	0.0.0.0	0	LISTENING	1280	svchost.exe	2025-08-07 19:36:20.000000 UTC
0xbb0c8e810b50	TCPv4	0.0.0.0	445	0.0.0.0	0	LISTENING	4	System	2025-08-07 19:36:21.000000 UTC
0xbb0c8e810b50	TCPv6	::	445	::	0	LISTENING	4	System	2025-08-07 19:36:21.000000 UTC
0xbb0c8e8110d0	TCPv4	0.0.0.0	49667	0.0.0.0	0	LISTENING	1320	svchost.exe	2025-08-07 19:36:20.000000 UTC
0xbb0c8e8114f0	TCPv4	0.0.0.0	49667	0.0.0.0	0	LISTENING	1320	svchost.exe	2025-08-07 19:36:20.000000 UTC
