Progress:    0.00		Scanning FileLayer using PageMapScannerProgress:   23.33		Scanning FileLayer using PageMapScannerProgress:  100.00		Stacking attempts finished             Progress:    0.00		Scanning layer_name using PdbSignatureScannerProgress:    0.00		Scanning layer_name using PdbSignatureScannerProgress:  100.00		PDB scanning finished                        Volatility 3 Framework 2.27.0

PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime	File output

5444	716	svchost.exe	0xb4800003c240	8	-	0	False	2025-08-07 19:36:30.000000 UTC	N/A	Disabled
5392	1320	taskhostw.exe	0xb4800004c300	10	-	1	False	2025-08-07 19:36:29.000000 UTC	N/A	Disabled
5292	716	svchost.exe	0xb480000792c0	4	-	1	False	2025-08-07 19:36:29.000000 UTC	N/A	Disabled
5348	1320	MicrosoftEdgeU	0xb4800007f300	4	-	0	True	2025-08-07 19:36:29.000000 UTC	N/A	Disabled
5244	716	svchost.exe	0xb480000872c0	5	-	1	False	2025-08-07 19:36:29.000000 UTC	N/A	Disabled
5684	5592	ctfmon.exe	0xb48000130240	11	-	1	False	2025-08-07 19:36:30.000000 UTC	N/A	Disabled
5592	716	svchost.exe	0xb48000162280	3	-	0	False	2025-08-07 19:36:30.000000 UTC	N/A	Disabled
5832	5788	explorer.exe	0xb480001ba340	55	-	1	False	2025-08-07 19:36:30.000000 UTC	N/A	Disabled
5788	672	userinit.exe	0xb480001bd340	0	-	1	False	2025-08-07 19:36:30.000000 UTC	2025-08-07 19:37:00.000000 UTC	Disabled
5848	716	svchost.exe	0xb480001dd080	5	-	0	False	2025-08-07 19:36:30.000000 UTC	N/A	Disabled
4	0	System	0xbb0c8b49c040	183	-	N/A	False	2025-08-07 19:36:17.000000 UTC	N/A	Disabled
140	4	Registry	0xbb0c8b4a4080	4	-	N/A	False	2025-08-07 19:36:09.000000 UTC	N/A	Disabled
2600	716	svchost.exe	0xbb0c8b4cd080	4	-	0	False	2025-08-07 19:36:20.000000 UTC	N/A	Disabled
2592	716	svchost.exe	0xbb0c8b4cf080	21	-	0	False	2025-08-07 19:36:20.000000 UTC	N/A	Disabled
2576	716	svchost.exe	0xbb0c8b4d1080	3	-	0	False	2025-08-07 19:36:20.000000 UTC	N/A	Disabled
2748	716	spoolsv.exe	0xbb0c8b529080	7	-	0	False	2025-08-07 19:36:20.000000 UTC	N/A	Disabled
2468	716	MpDefenderCore	0xbb0c8be54080	10	-	0	False	2025-08-07 19:47:16.000000 UTC	N/A	Disabled
496	484	csrss.exe	0xbb0c8d080140	12	-	0	False	2025-08-07 19:36:18.000000 UTC	N/A	Disabled
376	4	smss.exe	0xbb0c8d226040	2	-	N/A	False	2025-08-07 19:36:17.000000 UTC	N/A	Disabled
716	572	services.exe	0xbb0c8e03f080	7	-	0	False	2025-08-07 19:36:19.000000 UTC	N/A	Disabled
572	484	wininit.exe	0xbb0c8e0460c0	1	-	0	False	2025-08-07 19:36:19.000000 UTC	N/A	Disabled
728	572	lsass.exe	0xbb0c8e048140	10	-	0	False	2025-08-07 19:36:19.000000 UTC	N/A	Disabled
580	564	csrss.exe	0xbb0c8e04a140	13	-	1	False	2025-08-07 19:36:19.000000 UTC	N/A	Disabled
672	564	winlogon.exe	0xbb0c8e09a080	4	-	1	False	2025-08-07 19:36:19.000000 UTC	N/A	Disabled
684	716	svchost.exe	0xbb0c8e0b5080	13	-	0	False	2025-08-07 19:51:21.000000 UTC	N/A	Disabled
860	716	svchost.exe	0xbb0c8e110300	13	-	0	False	2025-08-07 19:36:19.000000 UTC	N/A	Disabled
884	572	fontdrvhost.ex	0xbb0c8e170140	5	-	0	False	2025-08-07 19:36:19.000000 UTC	N/A	Disabled
892	672	fontdrvhost.ex	0xbb0c8e172140	5	-	1	False	2025-08-07 19:36:19.000000 UTC	N/A	Disabled
984	716	svchost.exe	0xbb0c8e1ab2c0	8	-	0	False	2025-08-07 19:36:19.000000 UTC	N/A	Disabled
340	716	svchost.exe	0xbb0c8e1f1240	4	-	0	False	2025-08-07 19:36:19.000000 UTC	N/A	Disabled
7408	860	RuntimeBroker.	0xbb0c8e884080	2	-	1	False	2025-08-07 19:36:48.000000 UTC	N/A	Disabled
796	672	dwm.exe	0xbb0c8e886080	14	-	1	False	2025-08-07 19:36:20.000000 UTC	N/A	Disabled
1104	716	svchost.exe	0xbb0c8e8ea300	3	-	0	False	2025-08-07 19:36:20.000000 UTC	N/A	Disabled
1160	716	svchost.exe	0xbb0c8e914300	2	-	0	False	2025-08-07 19:36:20.000000 UTC	N/A	Disabled
1220	716	svchost.exe	0xbb0c8e915080	2	-	0	False	2025-08-07 19:36:20.000000 UTC	N/A	Disabled
1168	716	svchost.exe	0xbb0c8e916280	1	-	0	False	2025-08-07 19:36:20.000000 UTC	N/A	Disabled
1320	716	svchost.exe	0xbb0c8e9850c0	9	-	0	False	2025-08-07 19:36:20.000000 UTC	N/A	Disabled
1280	716	svchost.exe	0xbb0c8e987300	6	-	0	False	2025-08-07 19:36:20.000000 UTC	N/A	Disabled
1368	716	svchost.exe	0xbb0c8e9ba240	3	-	0	False	2025-08-07 19:36:20.000000 UTC	N/A	Disabled
1688	716	svchost.exe	0xbb0c8e9bd080	1	-	0	False	2025-08-07 19:36:20.000000 UTC	N/A	Disabled
1432	716	svchost.exe	0xbb0c8e9db2c0	4	-	0	False	2025-08-07 19:36:20.000000 UTC	N/A	Disabled
1492	716	svchost.exe	0xbb0c8ea680c0	6	-	0	False	2025-08-07 19:36:20.000000 UTC	N/A	Disabled
1472	716	svchost.exe	0xbb0c8ea6a2c0	2	-	0	False	2025-08-07 19:36:20.000000 UTC	N/A	Disabled
1576	716	svchost.exe	0xbb0c8ea85300	5	-	0	False	2025-08-07 19:36:20.000000 UTC	N/A	Disabled
1772	716	svchost.exe	0xbb0c8eacc2c0	4	-	0	False	2025-08-07 19:36:20.000000 UTC	N/A	Disabled
1088	2684	msedge.exe	0xbb0c8eb1f080	13	-	1	False	2025-08-07 19:41:44.000000 UTC	N/A	Disabled
1744	716	svchost.exe	0xbb0c8eb26300	6	-	0	False	2025-08-07 19:36:20.000000 UTC	N/A	Disabled
1152	716	svchost.exe	0xbb0c8eb282c0	9	-	0	False	2025-08-07 19:36:20.000000 UTC	N/A	Disabled
1444	716	svchost.exe	0xbb0c8eb29080	2	-	0	False	2025-08-07 19:36:20.000000 UTC	N/A	Disabled
1556	716	svchost.exe	0xbb0c8eb2b2c0	4	-	0	False	2025-08-07 19:36:20.000000 UTC	N/A	Disabled
1784	716	svchost.exe	0xbb0c8eb2e280	4	-	0	False	2025-08-07 19:36:20.000000 UTC	N/A	Disabled
