PID,PPID,ImageFileName,Offset(V),Threads
Progress:,0.00,Scanning,FileLayer,using
Progress:,23.33,Scanning,FileLayer,using
Progress:,100.00,Stacking,attempts,finished
Progress:,0.00,Scanning,layer_name,using
Progress:,0.00,Scanning,layer_name,using
Progress:,100.00,PDB,scanning,finished
5444,716,svchost.exe,0xb4800003c240,8
5392,1320,taskhostw.exe,0xb4800004c300,10
5292,716,svchost.exe,0xb480000792c0,4
5348,1320,MicrosoftEdgeU,0xb4800007f300,4
5244,716,svchost.exe,0xb480000872c0,5
5684,5592,ctfmon.exe,0xb48000130240,11
5592,716,svchost.exe,0xb48000162280,3
5832,5788,explorer.exe,0xb480001ba340,55
5788,672,userinit.exe,0xb480001bd340,0
5848,716,svchost.exe,0xb480001dd080,5
4,0,System,0xbb0c8b49c040,183
140,4,Registry,0xbb0c8b4a4080,4
2600,716,svchost.exe,0xbb0c8b4cd080,4
2592,716,svchost.exe,0xbb0c8b4cf080,21
2576,716,svchost.exe,0xbb0c8b4d1080,3
2748,716,spoolsv.exe,0xbb0c8b529080,7
2468,716,MpDefenderCore,0xbb0c8be54080,10
496,484,csrss.exe,0xbb0c8d080140,12
376,4,smss.exe,0xbb0c8d226040,2
716,572,services.exe,0xbb0c8e03f080,7
572,484,wininit.exe,0xbb0c8e0460c0,1
728,572,lsass.exe,0xbb0c8e048140,10
580,564,csrss.exe,0xbb0c8e04a140,13
672,564,winlogon.exe,0xbb0c8e09a080,4
684,716,svchost.exe,0xbb0c8e0b5080,13
860,716,svchost.exe,0xbb0c8e110300,13
884,572,fontdrvhost.ex,0xbb0c8e170140,5
892,672,fontdrvhost.ex,0xbb0c8e172140,5
984,716,svchost.exe,0xbb0c8e1ab2c0,8
340,716,svchost.exe,0xbb0c8e1f1240,4
7408,860,RuntimeBroker.,0xbb0c8e884080,2
796,672,dwm.exe,0xbb0c8e886080,14
1104,716,svchost.exe,0xbb0c8e8ea300,3
1160,716,svchost.exe,0xbb0c8e914300,2
1220,716,svchost.exe,0xbb0c8e915080,2
1168,716,svchost.exe,0xbb0c8e916280,1
1320,716,svchost.exe,0xbb0c8e9850c0,9
1280,716,svchost.exe,0xbb0c8e987300,6
1368,716,svchost.exe,0xbb0c8e9ba240,3
1688,716,svchost.exe,0xbb0c8e9bd080,1
1432,716,svchost.exe,0xbb0c8e9db2c0,4
1492,716,svchost.exe,0xbb0c8ea680c0,6
1472,716,svchost.exe,0xbb0c8ea6a2c0,2
1576,716,svchost.exe,0xbb0c8ea85300,5
1772,716,svchost.exe,0xbb0c8eacc2c0,4
1088,2684,msedge.exe,0xbb0c8eb1f080,13
1744,716,svchost.exe,0xbb0c8eb26300,6
1152,716,svchost.exe,0xbb0c8eb282c0,9
1444,716,svchost.exe,0xbb0c8eb29080,2
1556,716,svchost.exe,0xbb0c8eb2b2c0,4
1784,716,svchost.exe,0xbb0c8eb2e280,4
1800,716,svchost.exe,0xbb0c8eb32240,2
1932,4,MemCompression,0xbb0c8eb9a040,58
1976,716,svchost.exe,0xbb0c8ec33240,2
8336,860,backgroundTask,0xbb0c8ed59080,0
2480,716,svchost.exe,0xbb0c8edc80c0,7
2460,716,svchost.exe,0xbb0c8edca300,4
2564,716,svchost.exe,0xbb0c8edce300,4
2780,716,svchost.exe,0xbb0c8edd0300,4
2220,716,svchost.exe,0xbb0c8ee5b080,9
2236,716,svchost.exe,0xbb0c8ee5c080,2
2448,716,svchost.exe,0xbb0c8eeb9300,10
2360,716,svchost.exe,0xbb0c8eed22c0,1
2872,716,svchost.exe,0xbb0c8efa7300,12
4552,716,msdtc.exe,0xbb0c8efd6080,9
2996,716,svchost.exe,0xbb0c8f00f300,5
3200,716,svchost.exe,0xbb0c8f0c22c0,1
3260,716,svchost.exe,0xbb0c8f0c6300,16
3268,716,svchost.exe,0xbb0c8f0c8300,5
3276,716,svchost.exe,0xbb0c8f146240,5
3320,716,svchost.exe,0xbb0c8f159080,1
3292,716,svchost.exe,0xbb0c8f15a240,17
3300,716,svchost.exe,0xbb0c8f1c8280,3
3308,716,VGAuthService.,0xbb0c8f1ca300,2
3328,716,vm3dservice.ex,0xbb0c8f1cb080,3
3360,716,vmtoolsd.exe,0xbb0c8f1cd280,12
3440,716,svchost.exe,0xbb0c8f20c080,6
3508,716,svchost.exe,0xbb0c8f241240,7
3636,3200,dasHost.exe,0xbb0c8f2b4280,3
3624,3328,vm3dservice.ex,0xbb0c8f2b62c0,5
